,model,variable,value
10425,cox2,auc1,0.761385485
10426,cox2,auc1,0.855520938
10427,cox2,auc1,0.944271586
10428,cox2,auc1,0.870509788
10429,cox2,auc1,0.882246279
10430,cox2,auc1,0.957294292
10431,cox2,auc1,0.969384602
10432,cox2,auc1,0.966066554
10433,cox2,auc1,0.883886367
10434,cox2,auc1,0.885967972
10435,cox2,auc1,0.837657528
10436,cox2,auc1,0.955310034
10437,cox2,auc1,0.917532108
10438,cox2,auc1,0.922617801
10439,cox2,auc1,0.876250155
10440,cox2,auc1,0.950769439
10441,cox2,auc1,0.906955328
10442,cox2,auc1,0.784635673
10443,cox2,auc1,0.83079232
10444,cox2,auc1,0.890281729
10445,cox2,auc1,0.978450259
10446,cox2,auc1,0.957559614
10447,cox2,auc1,0.97164665
10448,cox2,auc1,0.93548797
10449,cox2,auc1,0.824701641
10450,cox2,auc1,0.86584893
10451,cox2,auc1,0.903389379
10452,cox2,auc1,0.934457861
10453,cox2,auc1,0.898268147
10454,cox2,auc1,0.832672898
10455,cox2,auc1,0.906814903
10456,cox2,auc1,0.884734876
10457,cox2,auc1,0.885634336
10458,cox2,auc1,0.943504867
10459,cox2,auc1,0.963160906
10460,cox2,auc1,0.878641279
10461,cox3,auc1,0.920292783
10462,cox3,auc1,0.866080699
10463,cox3,auc1,0.870049944
10464,cox3,auc1,0.955059097
10465,cox3,auc1,0.902201032
10466,cox3,auc1,0.892224574
10467,cox3,auc1,0.945801268
10468,cox3,auc1,0.9494468
10469,cox3,auc1,0.847493933
10470,cox3,auc1,0.941922991
10471,cox3,auc1,0.944114995
10472,cox3,auc1,0.948355728
10473,cox3,auc1,0.818220774
10474,cox3,auc1,0.907147551
10475,cox3,auc1,0.89763029
10476,cox3,auc1,0.931165944
10477,cox3,auc1,0.88036067
10478,cox3,auc1,0.926367607
10479,cox3,auc1,0.90686059
10480,cox3,auc1,0.883031282
10481,cox3,auc1,0.890814261
10482,cox3,auc1,0.930519646
10483,cox3,auc1,0.864624914
10484,cox3,auc1,0.93018572
10485,cox3,auc1,0.972335257
10486,cox3,auc1,0.868989687
10487,cox3,auc1,0.976121201
10488,cox3,auc1,0.906836968
10489,cox3,auc1,0.913420636
10490,cox3,auc1,0.882883149
10491,cox3,auc1,0.957568542
10492,cox3,auc1,0.920007779
10493,cox3,auc1,0.898411623
10494,cox3,auc1,0.924473026
10495,cox3,auc1,0.861928945
10496,cox3,auc1,0.906103027
10497,cox3,auc1,0.814316799
10498,cox3,auc1,0.897988122
10499,cox3,auc1,0.905326671
10500,cox3,auc1,0.969057687
10501,cox3,auc1,0.901542611
10502,cox3,auc1,0.864042868
10503,cox3,auc1,0.940825139
10504,cox3,auc1,0.98015542
10505,cox3,auc1,0.889200427
10506,cox3,auc1,0.875750928
10507,cox3,auc1,0.934922947
10508,cox3,auc1,0.893583074
10509,cox3,auc1,0.87885952
10510,cox3,auc1,0.961528772
10511,cox3,auc1,0.903432279
10512,cox3,auc1,0.891209502
10513,cox3,auc1,0.943315415
10514,cox3,auc1,0.835607997
10515,cox3,auc1,0.95894837
10516,cox3,auc1,0.92976616
10517,cox3,auc1,0.909181549
10518,cox3,auc1,0.94419971
10519,cox3,auc1,0.859388403
10520,cox3,auc1,0.918511716
10521,cox3,auc1,0.9010092
10522,cox3,auc1,0.925702979
10523,cox3,auc1,0.979956372
10524,cox3,auc1,0.961092178
10525,cox3,auc1,0.761385485
10526,cox3,auc1,0.855520938
10527,cox3,auc1,0.944271586
10528,cox3,auc1,0.870509788
10529,cox3,auc1,0.882246279
10530,cox3,auc1,0.957294292
10531,cox3,auc1,0.969384602
10532,cox3,auc1,0.966066554
10533,cox3,auc1,0.883886367
10534,cox3,auc1,0.885967972
10535,cox3,auc1,0.837657528
