"","datasets","model","variable","value"
"6397","1","pcox3","bs1",302.124156495266
"6398","1","pcox3","bs1",382.033847196802
"6399","1","pcox3","bs1",240.261945277188
"6400","1","pcox3","bs1",212.404518884938
"6401","1","pcox3","bs1",187.306407681358
"6402","1","pcox3","bs1",247.761694319051
"6403","1","pcox3","bs1",274.309264666467
"6404","1","pcox3","bs1",371.892854284587
"6405","1","pcox3","bs1",275.846270851639
"6406","1","pcox3","bs1",252.214956373927
"6407","1","pcox3","bs1",329.563668287395
"6408","1","pcox3","bs1",239.319625314916
"6409","1","pcox3","bs1",255.072240980522
"6410","1","pcox3","bs1",231.721865821617
"6411","1","pcox3","bs1",234.997813673202
"6412","1","pcox3","bs1",279.301813260322
"6413","1","pcox3","bs1",271.276498731415
"6414","1","pcox3","bs1",339.607575561282
"6415","1","pcox3","bs1",201.405763390629
"6416","1","pcox3","bs1",208.152615759551
"6417","1","pcox3","bs1",283.060000182055
"6418","1","pcox3","bs1",223.015010764671
"6419","1","pcox3","bs1",331.59683680113
"6420","1","pcox3","bs1",323.530988426886
"6421","1","pcox3","bs1",273.634451614466
"6422","1","pcox3","bs1",254.049462530029
"6423","1","pcox3","bs1",283.864723624424
"6424","1","pcox3","bs1",274.545265641969
"6425","1","pcox3","bs1",215.877577670429
"6426","1","pcox3","bs1",321.70750551615
"6427","1","pcox3","bs1",237.974296187732
"6428","1","pcox3","bs1",237.357554122524
"6429","1","pcox3","bs1",333.354788946841
"6430","1","pcox3","bs1",223.524370498323
"6431","1","pcox3","bs1",248.501204292826
"6432","1","pcox3","bs1",365.486861557077
"6433","1","pcox3","bs1",213.933020665037
"6434","1","pcox3","bs1",210.336612513728
"6435","1","pcox3","bs1",305.45505870755
"6436","1","pcox3","bs1",251.761799179843
"6437","1","pcox3","bs1",253.524503385839
"6438","1","pcox3","bs1",213.703215193817
"6439","1","pcox3","bs1",248.217372788112
"6440","1","pcox3","bs1",355.898642921209
"6441","1","pcox3","bs1",201.806524769848
"6442","1","pcox3","bs1",216.221072450226
"6443","1","pcox3","bs1",239.871886419445
"6444","1","pcox3","bs1",314.74543310056
"6445","1","pcox3","bs1",412.078623359646
"6446","1","pcox3","bs1",233.667074921782
"6447","1","pcox3","bs1",300.26051357135
"6448","1","pcox3","bs1",292.864558215584
"6449","1","pcox3","bs1",249.193388316145
"6450","1","pcox3","bs1",240.150645691284
"6451","1","pcox3","bs1",205.480296642759
"6452","1","pcox3","bs1",392.872227279246
"6453","1","pcox3","bs1",213.160564542574
"6454","1","pcox3","bs1",273.623216118132
"6455","1","pcox3","bs1",277.373921101633
"6456","1","pcox3","bs1",284.661565872307
"6457","1","pcox3","bs1",267.576933382174
"6458","1","pcox3","bs1",280.391833484604
"6459","1","pcox3","bs1",213.254271605637
"6460","1","pcox3","bs1",263.910424087864
"6461","1","pcox3","bs1",238.221802183775
"6462","1","pcox3","bs1",315.008295439056
"6463","1","pcox3","bs1",239.782195307446
"6464","1","pcox3","bs1",339.502668275683
"6465","1","pcox3","bs1",204.825638343578
"6466","1","pcox3","bs1",247.913056846759
"6467","1","pcox3","bs1",240.810672662247
"6468","1","pcox3","bs1",277.791053702616
"6469","1","pcox3","bs1",260.508639293085
"6470","1","pcox3","bs1",286.947524550746
"6771","1","coxboost","bs1",219.847793229947
"6772","1","coxboost","bs1",247.076037503864
"6773","1","coxboost","bs1",270.162269849347
"6774","1","coxboost","bs1",265.601492888744
"6775","1","coxboost","bs1",325.138517235734
"6776","1","coxboost","bs1",300.218234608239
"6777","1","coxboost","bs1",235.725568604335
"6778","1","coxboost","bs1",256.989416617374
"6779","1","coxboost","bs1",325.028858351454
