"","model","variable","value"
"1","pcox1","hc",0.527027027027027
"2","pcox1","hc",0.609756097560976
"3","pcox1","hc",0.762376237623762
"4","pcox1","hc",0.719626168224299
"5","pcox1","hc",0.673684210526316
"6","pcox1","hc",0.728155339805825
"7","pcox1","hc",0.767441860465116
"8","pcox1","hc",0.693693693693694
"9","pcox1","hc",0.694736842105263
"10","pcox1","hc",0.645390070921986
"11","pcox1","hc",0.81547619047619
"12","pcox1","hc",0.695652173913043
"13","pcox1","hc",0.666666666666667
"14","pcox1","hc",0.494252873563218
"15","pcox1","hc",0.704
"16","pcox1","hc",0.577639751552795
"17","pcox1","hc",0.666666666666667
"18","pcox1","hc",0.669421487603306
"19","pcox1","hc",0.797979797979798
"20","pcox1","hc",0.716417910447761
"21","pcox1","hc",0.673076923076923
"22","pcox1","hc",0.708860759493671
"23","pcox1","hc",0.764705882352941
"24","pcox1","hc",0.787234042553192
"25","pcox1","hc",0.705882352941177
"26","pcox1","hc",0.744525547445255
"27","pcox1","hc",0.711111111111111
"28","pcox1","hc",0.712121212121212
"29","pcox1","hc",0.830357142857143
"30","pcox1","hc",0.673076923076923
"31","pcox1","hc",0.625
"32","pcox1","hc",0.765217391304348
"33","pcox1","hc",0.81
"34","pcox1","hc",0.628787878787879
"35","pcox1","hc",0.751677852348993
"36","pcox1","hc",0.637795275590551
"37","pcox1","hc",0.697674418604651
"38","pcox1","hc",0.694610778443114
"39","pcox1","hc",0.651162790697674
"40","pcox1","hc",0.651376146788991
"41","pcox1","hc",0.8125
"42","pcox1","hc",0.698630136986301
"43","pcox1","hc",0.619047619047619
"44","pcox1","hc",0.82089552238806
"45","pcox1","hc",0.689024390243902
"46","pcox1","hc",0.692307692307692
"47","pcox1","hc",0.769230769230769
"48","pcox1","hc",0.642201834862385
"49","pcox1","hc",0.732142857142857
"50","pcox1","hc",0.648148148148148
"51","pcox1","hc",0.73394495412844
"52","pcox1","hc",0.802083333333333
"53","pcox1","hc",0.642857142857143
"54","pcox1","hc",0.598214285714286
"55","pcox1","hc",0.69672131147541
"56","pcox1","hc",0.666666666666667
"57","pcox1","hc",0.747747747747748
"58","pcox1","hc",0.676190476190476
"59","pcox1","hc",0.76271186440678
"60","pcox1","hc",0.615384615384615
"61","pcox1","hc",0.681818181818182
"62","pcox1","hc",0.752293577981651
"63","pcox1","hc",0.509090909090909
"64","pcox1","hc",0.720588235294118
"65","pcox1","hc",0.795180722891566
"66","pcox1","hc",0.62992125984252
"67","pcox1","hc",0.651376146788991
"68","pcox1","hc",0.679611650485437
"69","pcox1","hc",0.661654135338346
"70","pcox1","hc",0.761061946902655
"71","pcox1","hc",0.702857142857143
"72","pcox1","hc",0.586206896551724
"73","pcox1","hc",0.675
"74","pcox1","hc",0.705426356589147
"75","pcox1","hc",0.705882352941177
"76","pcox1","hc",0.699186991869919
"77","pcox1","hc",0.680672268907563
"78","pcox1","hc",0.741176470588235
"79","pcox1","hc",0.581395348837209
"80","pcox1","hc",0.56551724137931
"81","pcox1","hc",0.608247422680412
"82","pcox1","hc",0.763157894736842
"83","pcox1","hc",0.703389830508475
"84","pcox1","hc",0.620253164556962
"85","pcox1","hc",0.674418604651163
"86","pcox1","hc",0.725274725274725
"87","pcox1","hc",0.682926829268293
"88","pcox1","hc",0.590909090909091
"89","pcox1","hc",0.76530612244898
"90","pcox1","hc",0.723404255319149
"91","pcox1","hc",0.560344827586207
"92","pcox1","hc",0.666666666666667
"93","pcox1","hc",0.521367521367521
"94","pcox1","hc",0.743362831858407
"95","pcox1","hc",0.726315789473684
"96","pcox1","hc",0.702970297029703
"97","pcox1","hc",0.583333333333333
"98","pcox1","hc",0.654929577464789
"99","pcox1","hc",0.797979797979798
"100","pcox1","hc",0.7
"101","pcox2","hc",0.5
"102","pcox2","hc",0.5
"103","pcox2","hc",0.881188118811881
"104","pcox2","hc",0.757009345794392
"105","pcox2","hc",0.5
"106","pcox2","hc",0.5
"107","pcox2","hc",0.5
"108","pcox2","hc",0.5
"109","pcox2","hc",0.673684210526316
"110","pcox2","hc",0.638297872340426
"111","pcox2","hc",0.5
"112","pcox2","hc",0.5
"113","pcox2","hc",0.5
"114","pcox2","hc",0.5
"115","pcox2","hc",0.688
"116","pcox2","hc",0.5
"117","pcox2","hc",0.5
"118","pcox2","hc",0.5
"119","pcox2","hc",0.747474747474748
"120","pcox2","hc",0.5
"121","pcox2","hc",0.557692307692308
"122","pcox2","hc",0.759493670886076
"123","pcox2","hc",0.5
"124","pcox2","hc",0.5
"125","pcox2","hc",0.718954248366013
"126","pcox2","hc",0.5
"127","pcox2","hc",0.5
"128","pcox2","hc",0.5
"129","pcox2","hc",0.633928571428571
"130","pcox2","hc",0.5
"131","pcox2","hc",0.5
"132","pcox2","hc",0.5
"133","pcox2","hc",0.72
"134","pcox2","hc",0.5
"135","pcox2","hc",0.76510067114094
"136","pcox2","hc",0.5
"137","pcox2","hc",0.5
"138","pcox2","hc",0.5
"139","pcox2","hc",0.813953488372093
"140","pcox2","hc",0.651376146788991
"141","pcox2","hc",0.5
"142","pcox2","hc",0.5
"143","pcox2","hc",0.5
"144","pcox2","hc",0.671641791044776
"145","pcox2","hc",0.5
"146","pcox2","hc",0.643356643356643
"147","pcox2","hc",0.5
"148","pcox2","hc",0.568807339449541
"149","pcox2","hc",0.5
"150","pcox2","hc",0.675925925925926
"151","pcox2","hc",0.697247706422018
"152","pcox2","hc",0.5
"153","pcox2","hc",0.5
"154","pcox2","hc",0.5
"155","pcox2","hc",0.5
"156","pcox2","hc",0.666666666666667
"157","pcox2","hc",0.5
"158","pcox2","hc",0.5
"159","pcox2","hc",0.5
"160","pcox2","hc",0.551282051282051
"161","pcox2","hc",0.704545454545455
"162","pcox2","hc",0.5
"163","pcox2","hc",0.609090909090909
"164","pcox2","hc",0.713235294117647
"165","pcox2","hc",0.5
"166","pcox2","hc",0.5
"167","pcox2","hc",0.697247706422018
"168","pcox2","hc",0.5
"169","pcox2","hc",0.646616541353383
"170","pcox2","hc",0.5
"171","pcox2","hc",0.5
"172","pcox2","hc",0.5
"173","pcox2","hc",0.5
"174","pcox2","hc",0.720930232558139
"175","pcox2","hc",0.691176470588235
"176","pcox2","hc",0.650406504065041
"177","pcox2","hc",0.5
"178","pcox2","hc",0.5
"179","pcox2","hc",0.767441860465116
"180","pcox2","hc",0.551724137931034
"181","pcox2","hc",0.670103092783505
"182","pcox2","hc",0.768421052631579
"183","pcox2","hc",0.5
"184","pcox2","hc",0.5
"185","pcox2","hc",0.5
"186","pcox2","hc",0.725274725274725
"187","pcox2","hc",0.731707317073171
"188","pcox2","hc",0.5
"189","pcox2","hc",0.5
"190","pcox2","hc",0.5
"191","pcox2","hc",0.5
"192","pcox2","hc",0.705426356589147
"193","pcox2","hc",0.5
"194","pcox2","hc",0.5
"195","pcox2","hc",0.5
"196","pcox2","hc",0.683168316831683
"197","pcox2","hc",0.5
"198","pcox2","hc",0.5
"199","pcox2","hc",0.777777777777778
"200","pcox2","hc",0.733333333333333
"201","pcox3","hc",0.493243243243243
"202","pcox3","hc",0.560975609756098
"203","pcox3","hc",0.792079207920792
"204","pcox3","hc",0.700934579439252
"205","pcox3","hc",0.652631578947368
"206","pcox3","hc",0.747572815533981
"207","pcox3","hc",0.697674418604651
"208","pcox3","hc",0.738738738738739
"209","pcox3","hc",0.684210526315789
"210","pcox3","hc",0.645390070921986
"211","pcox3","hc",0.732142857142857
"212","pcox3","hc",0.673913043478261
"213","pcox3","hc",0.648148148148148
"214","pcox3","hc",0.632183908045977
"215","pcox3","hc",0.664
"216","pcox3","hc",0.583850931677019
"217","pcox3","hc",0.704761904761905
"218","pcox3","hc",0.59504132231405
"219","pcox3","hc",0.767676767676768
"220","pcox3","hc",0.761194029850746
"221","pcox3","hc",0.596153846153846
"222","pcox3","hc",0.708860759493671
"223","pcox3","hc",0.668449197860963
"224","pcox3","hc",0.840425531914894
"225","pcox3","hc",0.660130718954248
"226","pcox3","hc",0.72992700729927
"227","pcox3","hc",0.7
"228","pcox3","hc",0.696969696969697
"229","pcox3","hc",0.616071428571429
"230","pcox3","hc",0.653846153846154
"231","pcox3","hc",0.670454545454545
"232","pcox3","hc",0.791304347826087
"233","pcox3","hc",0.76
"234","pcox3","hc",0.666666666666667
"235","pcox3","hc",0.751677852348993
"236","pcox3","hc",0.566929133858268
"237","pcox3","hc",0.662790697674419
"238","pcox3","hc",0.718562874251497
"239","pcox3","hc",0.674418604651163
"240","pcox3","hc",0.605504587155963
"241","pcox3","hc",0.696428571428571
"242","pcox3","hc",0.712328767123288
"243","pcox3","hc",0.726190476190476
"244","pcox3","hc",0.791044776119403
"245","pcox3","hc",0.682926829268293
"246","pcox3","hc",0.692307692307692
"247","pcox3","hc",0.692307692307692
