"","datasets","model","variable","value"
"438707","15","pcox3","bs1",6.84341182428455
"438708","15","pcox3","bs1",2.89995085806068
"438709","15","pcox3","bs1",2.53897406088382
"438710","15","pcox3","bs1",3.51682767704399
"438711","15","pcox3","bs1",3.00505648449506
"438712","15","pcox3","bs1",2.40537488748708
"438713","15","pcox3","bs1",3.08864535698927
"438714","15","pcox3","bs1",3.23546227725918
"438715","15","pcox3","bs1",3.04506554029192
"438716","15","pcox3","bs1",3.20552409750131
"438717","15","pcox3","bs1",3.23747191317509
"438718","15","pcox3","bs1",3.52326829376568
"438719","15","pcox3","bs1",2.42892690882551
"438720","15","pcox3","bs1",2.7151868771465
"438721","15","pcox3","bs1",2.62991038949816
"438722","15","pcox3","bs1",2.91716723989628
"438723","15","pcox3","bs1",3.32464241831259
"438724","15","pcox3","bs1",2.65209545166929
"438725","15","pcox3","bs1",2.69421879590098
"438726","15","pcox3","bs1",4.11028511581895
"438727","15","pcox3","bs1",2.78583207132505
"438728","15","pcox3","bs1",3.60063648909438
"438729","15","pcox3","bs1",2.77785191510814
"438730","15","pcox3","bs1",3.42243892153492
"438731","15","pcox3","bs1",5.82977569988979
"438732","15","pcox3","bs1",2.5280922962644
"438733","15","pcox3","bs1",2.58592640491408
"438734","15","pcox3","bs1",2.6462136392468
"438735","15","pcox3","bs1",3.1866295565329
"438736","15","pcox3","bs1",3.46887709985868
"438737","15","pcox3","bs1",2.64150988160842
"438738","15","pcox3","bs1",2.9717576662383
"438739","15","pcox3","bs1",3.95017909115004
"438740","15","pcox3","bs1",3.17600372266818
"438741","15","pcox3","bs1",2.93025233939612
"438742","15","pcox3","bs1",3.87310391158753
"438743","15","pcox3","bs1",2.76214475988311
"438744","15","pcox3","bs1",2.61152351675414
"438745","15","pcox3","bs1",2.95032960931258
"438746","15","pcox3","bs1",2.81929358243369
"438747","15","pcox3","bs1",3.91461478751306
"438748","15","pcox3","bs1",3.38724543123447
"438749","15","pcox3","bs1",2.9407330655997
"438750","15","pcox3","bs1",2.7922968732951
"438751","15","pcox3","bs1",4.48125541372968
"438752","15","pcox3","bs1",3.26031502274878
"438753","15","pcox3","bs1",4.90675862746215
"438754","15","pcox3","bs1",2.15183423212949
"438755","15","pcox3","bs1",3.12735877318761
"438756","15","pcox3","bs1",2.83211687159231
"438757","15","pcox3","bs1",3.43012628577658
"438758","15","pcox3","bs1",2.86737416428546
"438759","15","pcox3","bs1",1.6519798978289
"438760","15","pcox3","bs1",3.466526119306
"438761","15","pcox3","bs1",3.08645375765869
"438762","15","pcox3","bs1",2.59556593912045
"438763","15","pcox3","bs1",4.49070476394403
"438764","15","pcox3","bs1",2.46978252292235
"438765","15","pcox3","bs1",3.38906780488081
"438766","15","pcox3","bs1",2.95960607378884
"438767","15","pcox3","bs1",3.20434893897563
"438768","15","pcox3","bs1",3.03715021690303
"438769","15","pcox3","bs1",3.39186767928872
"438770","15","pcox3","bs1",2.6313520373595
"438771","15","pcox3","bs1",3.21412977112501
"438772","15","pcox3","bs1",2.75110352751747
"438773","15","pcox3","bs1",3.28435300793787
"438774","15","pcox3","bs1",2.97181890990874
"438775","15","pcox3","bs1",2.30577421008431
"438776","15","pcox3","bs1",3.86135674203909
"438777","15","pcox3","bs1",2.92607902764573
"438778","15","pcox3","bs1",3.45408284304592
"438779","15","pcox3","bs1",2.52802505863112
"438780","15","pcox3","bs1",2.5862371699376
"438781","15","pcox3","bs1",2.71733170984834
"438782","15","pcox3","bs1",3.81614139327278
"438783","15","pcox3","bs1",3.46645340093366
"438784","15","pcox3","bs1",1.9165365498861
"438785","15","pcox3","bs1",3.0796613019352
"439086","15","coxboost","bs1",3.24474536560205
"439087","15","coxboost","bs1",3.58892302836307
"439088","15","coxboost","bs1",3.42525015790442
"439089","15","coxboost","bs1",3.04393521101568
