"","model","variable","value"
"1","pcox1","hc",0.548672566371681
"2","pcox1","hc",0.601078167115903
"3","pcox1","hc",0.446096654275093
"4","pcox1","hc",0.575757575757576
"5","pcox1","hc",0.545454545454545
"6","pcox1","hc",0.581081081081081
"7","pcox1","hc",0.54
"8","pcox1","hc",0.67175572519084
"9","pcox1","hc",0.542772861356932
"10","pcox1","hc",0.310483870967742
"11","pcox1","hc",0.666666666666667
"12","pcox1","hc",0.580736543909348
"13","pcox1","hc",0.472222222222222
"14","pcox1","hc",0.474402730375427
"15","pcox1","hc",0.557971014492754
"16","pcox1","hc",0.611764705882353
"17","pcox1","hc",0.505338078291815
"18","pcox1","hc",0.636363636363636
"19","pcox1","hc",0.498039215686275
"20","pcox1","hc",0.588607594936709
"21","pcox1","hc",0.550173010380623
"22","pcox1","hc",0.42
"23","pcox1","hc",0.48
"24","pcox1","hc",0.448087431693989
"25","pcox1","hc",0.5
"26","pcox1","hc",0.571428571428571
"27","pcox1","hc",0.433333333333333
"28","pcox1","hc",0.557632398753894
"29","pcox1","hc",0.5
"30","pcox1","hc",0.56701030927835
"31","pcox1","hc",0.568452380952381
"32","pcox1","hc",0.695364238410596
"33","pcox1","hc",0.381132075471698
"34","pcox1","hc",0.530546623794212
"35","pcox1","hc",0.485714285714286
"36","pcox1","hc",0.566433566433566
"37","pcox1","hc",0.358585858585859
"38","pcox1","hc",0.565121412803532
"39","pcox1","hc",0.53921568627451
"40","pcox1","hc",0.562814070351759
"41","pcox1","hc",0.50788643533123
"42","pcox1","hc",0.460606060606061
"43","pcox1","hc",0.625
"44","pcox1","hc",0.619047619047619
"45","pcox1","hc",0.567398119122257
"46","pcox1","hc",0.653992395437262
"47","pcox1","hc",0.573849878934625
"48","pcox1","hc",0.53030303030303
"49","pcox1","hc",0.552380952380952
"50","pcox1","hc",0.531531531531532
"51","pcox1","hc",0.598070739549839
"52","pcox1","hc",0.64804469273743
"53","pcox1","hc",0.537764350453172
"54","pcox1","hc",0.611764705882353
"55","pcox1","hc",0.562005277044855
"56","pcox1","hc",0.493670886075949
"57","pcox1","hc",0.481481481481481
"58","pcox1","hc",0.472324723247232
"59","pcox1","hc",0.629508196721312
"60","pcox1","hc",0.529780564263323
"61","pcox1","hc",0.533596837944664
"62","pcox1","hc",0.332089552238806
"63","pcox1","hc",0.410774410774411
"64","pcox1","hc",0.496794871794872
"65","pcox1","hc",0.657492354740061
"66","pcox1","hc",0.488262910798122
"67","pcox1","hc",0.577075098814229
"68","pcox1","hc",0.505576208178439
"69","pcox1","hc",0.517084282460137
"70","pcox1","hc",0.503355704697987
"71","pcox1","hc",0.615384615384615
"72","pcox1","hc",0.538812785388128
"73","pcox1","hc",0.538904899135447
"74","pcox1","hc",0.402877697841727
"75","pcox1","hc",0.563218390804598
"76","pcox1","hc",0.610354223433243
"77","pcox1","hc",0.449180327868852
"78","pcox1","hc",0.191176470588235
"79","pcox1","hc",0.490140845070423
"80","pcox1","hc",0.533557046979866
"81","pcox1","hc",0.357827476038339
"82","pcox1","hc",0.613861386138614
"83","pcox1","hc",0.46875
"84","pcox1","hc",0.467261904761905
"85","pcox1","hc",0.573076923076923
"86","pcox1","hc",0.400793650793651
"87","pcox1","hc",0.522435897435897
"88","pcox1","hc",0.384937238493724
"89","pcox1","hc",0.472560975609756
"90","pcox1","hc",0.578787878787879
"91","pcox1","hc",0.552346570397112
"92","pcox1","hc",0.678217821782178
"93","pcox1","hc",0.51150895140665
"94","pcox1","hc",0.514754098360656
"95","pcox1","hc",0.473469387755102
"96","pcox1","hc",0.556910569105691
"97","pcox1","hc",0.559171597633136
"98","pcox1","hc",0.616580310880829
"99","pcox1","hc",0.550898203592814
"100","pcox1","hc",0.490909090909091
"101","pcox2","hc",0.5
"102","pcox2","hc",0.5
"103","pcox2","hc",0.5
"104","pcox2","hc",0.5
"105","pcox2","hc",0.5
"106","pcox2","hc",0.5
"107","pcox2","hc",0.5
"108","pcox2","hc",0.5
"109","pcox2","hc",0.5
"110","pcox2","hc",0.5
"111","pcox2","hc",0.5
"112","pcox2","hc",0.5
"113","pcox2","hc",0.5
"114","pcox2","hc",0.5
"115","pcox2","hc",0.5
"116","pcox2","hc",0.5
"117","pcox2","hc",0.5
"118","pcox2","hc",0.5
"119","pcox2","hc",0.5
"120","pcox2","hc",0.5
"121","pcox2","hc",0.5
"122","pcox2","hc",0.5
"123","pcox2","hc",0.5
"124","pcox2","hc",0.5
"125","pcox2","hc",0.5
"126","pcox2","hc",0.5
"127","pcox2","hc",0.5
"128","pcox2","hc",0.5
"129","pcox2","hc",0.5
"130","pcox2","hc",0.5
"131","pcox2","hc",0.5
"132","pcox2","hc",0.5
"133","pcox2","hc",0.5
"134","pcox2","hc",0.5
"135","pcox2","hc",0.5
"136","pcox2","hc",0.5
"137","pcox2","hc",0.5
"138","pcox2","hc",0.5
"139","pcox2","hc",0.5
"140","pcox2","hc",0.5
"141","pcox2","hc",0.5
"142","pcox2","hc",0.5
"143","pcox2","hc",0.5
"144","pcox2","hc",0.5
"145","pcox2","hc",0.5
"146","pcox2","hc",0.5
