"","model","variable","value"
"1","pcox1","hc",0.592085235920852
"2","pcox1","hc",0.556894243641232
"3","pcox1","hc",0.5
"4","pcox1","hc",0.5
"5","pcox1","hc",0.590994371482176
"6","pcox1","hc",0.577735124760077
"7","pcox1","hc",0.5
"8","pcox1","hc",0.655290102389078
"9","pcox1","hc",0.599025974025974
"10","pcox1","hc",0.569114470842333
"11","pcox1","hc",0.5
"12","pcox1","hc",0.5
"13","pcox1","hc",0.585951940850277
"14","pcox1","hc",0.5
"15","pcox1","hc",0.614601018675722
"16","pcox1","hc",0.5
"17","pcox1","hc",0.657575757575758
"18","pcox1","hc",0.618857901726428
"19","pcox1","hc",0.5
"20","pcox1","hc",0.569506726457399
"21","pcox1","hc",0.650709219858156
"22","pcox1","hc",0.497084548104956
"23","pcox1","hc",0.628333333333333
"24","pcox1","hc",0.5
"25","pcox1","hc",0.5
"26","pcox1","hc",0.640287769784173
"27","pcox1","hc",0.5
"28","pcox1","hc",0.641943734015345
"29","pcox1","hc",0.585872576177285
"30","pcox1","hc",0.5
"31","pcox1","hc",0.5
"32","pcox1","hc",0.5
"33","pcox1","hc",0.585774058577406
"34","pcox1","hc",0.544757033248082
"35","pcox1","hc",0.5
"36","pcox1","hc",0.5
"37","pcox1","hc",0.5
"38","pcox1","hc",0.668630338733431
"39","pcox1","hc",0.547491995731057
"40","pcox1","hc",0.616393442622951
"41","pcox1","hc",0.413592233009709
"42","pcox1","hc",0.5
"43","pcox1","hc",0.5
"44","pcox1","hc",0.5
"45","pcox1","hc",0.5
"46","pcox1","hc",0.604365620736699
"47","pcox1","hc",0.5
"48","pcox1","hc",0.5
"49","pcox1","hc",0.526652452025586
"50","pcox1","hc",0.5
"51","pcox1","hc",0.557046979865772
"52","pcox1","hc",0.603960396039604
"53","pcox1","hc",0.580226904376013
"54","pcox1","hc",0.601010101010101
"55","pcox1","hc",0.631578947368421
"56","pcox1","hc",0.563348416289593
"57","pcox1","hc",0.592592592592593
"58","pcox1","hc",0.5
"59","pcox1","hc",0.5
"60","pcox1","hc",0.584905660377358
"61","pcox1","hc",0.5
"62","pcox1","hc",0.597796143250689
"63","pcox1","hc",0.5
"64","pcox1","hc",0.5
"65","pcox1","hc",0.603698811096433
"66","pcox1","hc",0.5
"67","pcox1","hc",0.5
"68","pcox1","hc",0.610983981693364
"69","pcox1","hc",0.513654096228869
"70","pcox1","hc",0.587945879458795
"71","pcox1","hc",0.568257491675916
"72","pcox1","hc",0.5
"73","pcox1","hc",0.5
"74","pcox1","hc",0.651031894934334
"75","pcox1","hc",0.539823008849557
"76","pcox1","hc",0.5
"77","pcox1","hc",0.652573529411765
"78","pcox1","hc",0.645584725536993
"79","pcox1","hc",0.597633136094675
"80","pcox1","hc",0.599290780141844
"81","pcox1","hc",0.62202380952381
"82","pcox1","hc",0.601113172541744
"83","pcox1","hc",0.648286140089419
"84","pcox1","hc",0.5
"85","pcox1","hc",0.583582089552239
"86","pcox1","hc",0.577245508982036
"87","pcox1","hc",0.595744680851064
"88","pcox1","hc",0.595744680851064
"89","pcox1","hc",0.5
"90","pcox1","hc",0.644067796610169
"91","pcox1","hc",0.632801161103048
"92","pcox1","hc",0.556714471968709
"93","pcox1","hc",0.621657754010695
"94","pcox1","hc",0.605105105105105
"95","pcox1","hc",0.549632352941177
"96","pcox1","hc",0.5
"97","pcox1","hc",0.55
"98","pcox1","hc",0.644305772230889
"99","pcox1","hc",0.564465408805031
"100","pcox1","hc",0.5
"101","pcox2","hc",0.698630136986301
"102","pcox2","hc",0.769745649263722
"103","pcox2","hc",0.666666666666667
"104","pcox2","hc",0.782345828295042
"105","pcox2","hc",0.703564727954972
"106","pcox2","hc",0.673704414587332
"107","pcox2","hc",0.763089005235602
"108","pcox2","hc",0.674061433447099
"109","pcox2","hc",0.811688311688312
"110","pcox2","hc",0.693304535637149
"111","pcox2","hc",0.718579234972678
"112","pcox2","hc",0.73938679245283
"113","pcox2","hc",0.817005545286506
"114","pcox2","hc",0.683168316831683
"115","pcox2","hc",0.736842105263158
"116","pcox2","hc",0.730718954248366
"117","pcox2","hc",0.73030303030303
"118","pcox2","hc",0.763612217795485
"119","pcox2","hc",0.729591836734694
"120","pcox2","hc",0.708520179372197
"121","pcox2","hc",0.74468085106383
"122","pcox2","hc",0.635568513119534
"123","pcox2","hc",0.665
"124","pcox2","hc",0.830097087378641
"125","pcox2","hc",0.70362473347548
"126","pcox2","hc",0.710431654676259
"127","pcox2","hc",0.707196029776675
