Data name raw,Data name in the paper
anz,ANZ
us,UNOS_Kidney
veteran,Veteran
lung,Lung
pbc,PBC 
melanoma_clinical,Melanoma_clinical
melanoma_itraq,Melanoma_itraq
melanoma_nano,Melanoma_nano
gse1,Ovarian_1
gse2,Ovarian_2
ngene1,GE_1
ngene2,GE_2
mgene3,GE_3
ngene4,GE_4
ngene5,GE_5
ngene6,GE_6
